id,year,semester,courseId,courseName,department,departmentName,division,grade,className,capacity,confirmed,enrolled,remaining,isFull,demandExceedsCapacity,remainUpdatedAt,status
115-1-CCD-A010-A-1-A,115,1,A010,素描,CCD,工藝與創意設計學系,A,1,A,60,51,0,9,false,false,2026-08-29T21:00:11+00:00,ok
115-1-CCD-A011-A-1-A,115,1,A011,色彩學,CCD,工藝與創意設計學系,A,1,A,60,56,0,4,false,false,2026-08-29T21:00:11+00:00,ok
115-1-CCD-A020-A-1-A,115,1,A020,圖學,CCD,工藝與創意設計學系,A,1,A,60,53,0,7,false,false,2026-08-29T21:00:11+00:00,ok
115-1-CCD-A04A-A-1-A,115,1,A04A,基本造型構成(一),CCD,工藝與創意設計學系,A,1,A,60,53,0,7,false,false,2026-08-29T21:00:11+00:00,ok
115-1-CCD-A507-A-1-A,115,1,A507,木質媒材創作與應用(一),CCD,工藝與創意設計學系,A,1,A,15,15,0,0,true,false,2026-08-29T21:00:11+00:00,ok
115-1-CCD-A50A-A-1-A,115,1,A50A,基礎媒材創作(一),CCD,工藝與創意設計學系,A,1,A,60,50,0,10,false,false,2026-08-29T21:00:11+00:00,ok
115-1-CCD-A541-A-1-A,115,1,A541,電腦輔助設計(一)A,CCD,工藝與創意設計學系,A,1,A,30,9,0,21,false,false,2026-08-29T21:00:11+00:00,ok
115-1-CCD-A542-A-1-A,115,1,A542,電腦輔助設計(一)B,CCD,工藝與創意設計學系,A,1,A,30,25,0,5,false,false,2026-08-29T21:00:11+00:00,ok
115-1-CCD-B571-A-1-A,115,1,B571,電腦多媒體,CCD,工藝與創意設計學系,A,1,A,30,24,0,6,false,false,2026-08-29T21:00:11+00:00,ok
115-1-CCD-A506-A-2-A,115,1,A506,圖案與文字造型設計,CCD,工藝與創意設計學系,A,2,A,20,20,0,0,true,false,2026-08-29T21:00:11+00:00,ok
115-1-CCD-A532-A-2-A,115,1,A532,產品表現技法,CCD,工藝與創意設計學系,A,2,A,20,20,0,0,true,false,2026-08-29T21:00:11+00:00,ok
115-1-CCD-B010-A-2-A,115,1,B010,創意設計(一),CCD,工藝與創意設計學系,A,2,A,60,41,0,19,false,false,2026-08-29T21:00:11+00:00,ok
115-1-CCD-B043-A-2-A,115,1,B043,設計思考(一),CCD,工藝與創意設計學系,A,2,A,60,48,0,12,false,false,2026-08-29T21:00:11+00:00,ok
115-1-CCD-B521-A-2-A,115,1,B521,傳統圖案研究,CCD,工藝與創意設計學系,A,2,A,30,22,0,8,false,false,2026-08-29T21:00:11+00:00,ok
115-1-CCD-B536-A-2-A,115,1,B536,視覺傳達設計,CCD,工藝與創意設計學系,A,2,A,30,30,0,0,true,false,2026-08-29T21:00:11+00:00,ok
115-1-CCD-B545-A-2-A,115,1,B545,數位工藝概論,CCD,工藝與創意設計學系,A,2,A,70,26,0,44,false,false,2026-08-29T21:00:11+00:00,ok
115-1-CCD-B551-A-2-A,115,1,B551,工藝設計(一),CCD,工藝與創意設計學系,A,2,A,45,36,0,9,false,false,2026-08-29T21:00:11+00:00,ok
115-1-CCD-B562-A-2-A,115,1,B562,造型藝術創作(一),CCD,工藝與創意設計學系,A,2,A,30,30,0,0,true,false,2026-08-29T21:00:11+00:00,ok
115-1-CCD-B581-A-2-A,115,1,B581,陶瓷裝飾技法,CCD,工藝與創意設計學系,A,2,A,15,15,0,0,true,false,2026-08-29T21:00:11+00:00,ok
115-1-CCD-C521-A-2-A,115,1,C521,數位設計(一),CCD,工藝與創意設計學系,A,2,A,30,30,0,0,true,false,2026-08-29T21:00:11+00:00,ok
115-1-CCD-C010-A-3-A,115,1,C010,田野調查,CCD,工藝與創意設計學系,A,3,A,70,53,0,17,false,false,2026-08-29T21:00:11+00:00,ok
115-1-CCD-C021-A-3-A,115,1,C021,創意設計(三),CCD,工藝與創意設計學系,A,3,A,60,48,0,12,false,false,2026-08-29T21:00:11+00:00,ok
115-1-CCD-C500-A-3-A,115,1,C500,校外實習,CCD,工藝與創意設計學系,A,3,A,60,41,0,19,false,false,2026-08-29T21:00:11+00:00,ok
115-1-CCD-C511-A-3-A,115,1,C511,木作漆藝(一),CCD,工藝與創意設計學系,A,3,A,22,22,0,0,true,false,2026-08-29T21:00:11+00:00,ok
115-1-CCD-C521-A-3-A,115,1,C521,數位設計(一),CCD,工藝與創意設計學系,A,3,A,30,30,0,0,true,false,2026-08-29T21:00:11+00:00,ok
115-1-CCD-C523-A-3-A,115,1,C523,數位立體造型設計(一),CCD,工藝與創意設計學系,A,3,A,30,30,0,0,true,false,2026-08-29T21:00:11+00:00,ok
115-1-CCD-C52C-A-3-A,115,1,C52C,媒體創新設計(三),CCD,工藝與創意設計學系,A,3,A,45,20,0,25,false,false,2026-08-29T21:00:11+00:00,ok
115-1-CCD-C531-A-3-A,115,1,C531,工藝設計(三),CCD,工藝與創意設計學系,A,3,A,45,30,0,15,false,false,2026-08-29T21:00:11+00:00,ok
115-1-CCD-C541-A-3-A,115,1,C541,企業識別體系,CCD,工藝與創意設計學系,A,3,A,20,19,0,1,false,false,2026-08-29T21:00:11+00:00,ok
115-1-CCD-C551-A-3-A,115,1,C551,當代藝術,CCD,工藝與創意設計學系,A,3,A,60,25,0,35,false,false,2026-08-29T21:00:11+00:00,ok
115-1-CCD-C555-A-3-A,115,1,C555,文化產品設計概論,CCD,工藝與創意設計學系,A,3,A,20,20,0,0,true,false,2026-08-29T21:00:11+00:00,ok
115-1-CCD-C561-A-3-A,115,1,C561,玉石媒材創作(一),CCD,工藝與創意設計學系,A,3,A,12,12,0,0,true,false,2026-08-29T21:00:11+00:00,ok
115-1-CCD-D100-A-4-A,115,1,D100,畢業製作(一)-A,CCD,工藝與創意設計學系,A,4,A,60,23,0,37,false,false,2026-08-29T21:00:11+00:00,ok
115-1-CCD-D101-A-4-A,115,1,D101,畢業製作(一)-B,CCD,工藝與創意設計學系,A,4,A,60,24,0,36,false,false,2026-08-29T21:00:11+00:00,ok
115-1-CHS-A761-A-1-A,115,1,A761,基礎電腦繪圖,CHS,人文社會科學院共同課程,A,1,A,20,2,0,18,false,false,2026-08-29T21:00:11+00:00,ok
115-1-DA-A01A-A-1-A,115,1,A01A,建築設計(一)A,DA,建築學系,A,1,A,30,12,0,18,false,false,2026-08-29T21:00:11+00:00,ok
115-1-DA-A01B-A-1-A,115,1,A01B,建築設計(一)B,DA,建築學系,A,1,A,30,11,0,19,false,false,2026-08-29T21:00:11+00:00,ok
115-1-DA-A01C-A-1-A,115,1,A01C,建築設計(一)C,DA,建築學系,A,1,A,30,13,0,17,false,false,2026-08-29T21:00:11+00:00,ok
115-1-DA-A021-A-1-A,115,1,A021,圖學,DA,建築學系,A,1,A,41,37,0,4,false,false,2026-08-29T21:00:11+00:00,ok
115-1-DA-A031-A-1-A,115,1,A031,建築概論,DA,建築學系,A,1,A,60,36,0,24,false,false,2026-08-29T21:00:11+00:00,ok
115-1-DA-B020-A-2-A,115,1,B020,西洋建築史,DA,建築學系,A,2,A,40,33,0,7,false,false,2026-08-29T21:00:11+00:00,ok
115-1-DA-B021-A-2-A,115,1,B021,建築計畫,DA,建築學系,A,2,A,50,29,0,21,false,false,2026-08-29T21:00:11+00:00,ok
115-1-DA-B04A-A-2-A,115,1,B04A,建築設計(三)A,DA,建築學系,A,2,A,30,13,0,17,false,false,2026-08-29T21:00:11+00:00,ok
115-1-DA-B04B-A-2-A,115,1,B04B,建築設計(三)B,DA,建築學系,A,2,A,30,10,0,20,false,false,2026-08-29T21:00:11+00:00,ok
115-1-DA-B04C-A-2-A,115,1,B04C,建築設計(三)C,DA,建築學系,A,2,A,30,3,0,27,false,false,2026-08-29T21:00:11+00:00,ok
115-1-DA-B502-A-2-A,115,1,B502,數位創新設計(二),DA,建築學系,A,2,A,33,33,0,0,true,false,2026-08-29T21:00:11+00:00,ok
115-1-DA-B521-A-2-A,115,1,B521,測量學及實習,DA,建築學系,A,2,A,20,20,0,0,true,false,2026-08-29T21:00:11+00:00,ok
115-1-DA-B011-A-3-A,115,1,B011,建築構造學(2),DA,建築學系,A,3,A,40,30,0,10,false,false,2026-08-29T21:00:11+00:00,ok
115-1-DA-B030-A-3-A,115,1,B030,建築結構系統,DA,建築學系,A,3,A,40,29,0,11,false,false,2026-08-29T21:00:11+00:00,ok
115-1-DA-C01A-A-3-A,115,1,C01A,建築設計(五)A,DA,建築學系,A,3,A,30,11,0,19,false,false,2026-08-29T21:00:11+00:00,ok
115-1-DA-C01B-A-3-A,115,1,C01B,建築設計(五)B,DA,建築學系,A,3,A,30,4,0,26,false,false,2026-08-29T21:00:11+00:00,ok
115-1-DA-C01C-A-3-A,115,1,C01C,建築設計(五)C,DA,建築學系,A,3,A,30,10,0,20,false,false,2026-08-29T21:00:11+00:00,ok
115-1-DA-C021-A-3-A,115,1,C021,敷地計畫,DA,建築學系,A,3,A,40,30,0,10,false,false,2026-08-29T21:00:11+00:00,ok
115-1-DA-C502-A-3-A,115,1,C502,施工估價,DA,建築學系,A,3,A,30,28,0,2,false,false,2026-08-29T21:00:11+00:00,ok
115-1-DA-C54A-A-3-A,115,1,C54A,數位創新設計(四),DA,建築學系,A,3,A,30,27,0,3,false,false,2026-08-29T21:00:11+00:00,ok
115-1-DA-D011-A-3-A,115,1,D011,建築環境控制系統,DA,建築學系,A,3,A,100,57,0,43,false,false,2026-08-29T21:00:11+00:00,ok
115-1-DA-C031-A-4-A,115,1,C031,建築法規,DA,建築學系,A,4,A,50,32,0,18,false,false,2026-08-29T21:00:11+00:00,ok
115-1-DA-D011-A-4-A,115,1,D011,建築環境控制系統,DA,建築學系,A,4,A,100,57,0,43,false,false,2026-08-29T21:00:11+00:00,ok
115-1-DA-D01A-A-4-A,115,1,D01A,建築設計(七)A,DA,建築學系,A,4,A,36,15,0,21,false,false,2026-08-29T21:00:11+00:00,ok
115-1-DA-D01B-A-4-A,115,1,D01B,建築設計(七)B,DA,建築學系,A,4,A,30,10,0,20,false,false,2026-08-29T21:00:11+00:00,ok
115-1-DA-D021-A-4-A,115,1,D021,都市計畫,DA,建築學系,A,4,A,40,25,0,15,false,false,2026-08-29T21:00:11+00:00,ok
115-1-DA-E001-A-5-A,115,1,E001,建築設計(九)A,DA,建築學系,A,5,A,30,8,0,22,false,false,2026-08-29T21:00:11+00:00,ok
115-1-DA-E002-A-5-A,115,1,E002,建築設計(九)B,DA,建築學系,A,5,A,30,9,0,21,false,false,2026-08-29T21:00:11+00:00,ok
115-1-DA-E003-A-5-A,115,1,E003,建築設計(九)C,DA,建築學系,A,5,A,30,9,0,21,false,false,2026-08-29T21:00:11+00:00,ok
115-1-DA-T020-L-1-,115,1,T020,研究方法與論文寫作,DA,建築學系,L,1,,30,17,0,13,false,false,2026-08-29T21:00:11+00:00,ok
115-1-DA-T02A-L-1-,115,1,T02A,專題研討(一),DA,建築學系,L,1,,50,17,0,33,false,false,2026-08-29T21:00:11+00:00,ok
