id,year,semester,college,department,departmentName,courseId,division,divisionName,grade,className,courseName,credits,courseType,capacity,confirmed,enrolled,remaining,teacher,classroom,monday,tuesday,wednesday,thursday,friday,saturday,sunday,scheduleJson,restrictions,notes,detailUrl,fetchedAtUtc
115-1-CCD-A010-A-1-A,115,1,人文社會科學院,CCD,工藝與創意設計學系,A010,A,大學部,1,A,素描,2,必,60,51,0,9,賴廷鴻,H1--108,,"2,3, 4",,,,,,"[{""day"": 2, ""dayName"": ""星期二"", ""periods"": [""2"", ""3"", ""4""], ""raw"": ""2,3, 4""}]",限修,H1-108,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=115&Helf=1&Sclass=CCD&Cono=A010,2026-09-01T05:21:17+00:00
115-1-CCD-A011-A-1-A,115,1,人文社會科學院,CCD,工藝與創意設計學系,A011,A,大學部,1,A,色彩學,2,必,60,56,0,4,洪碩延,H1--108,,,"3,4",,,,,"[{""day"": 3, ""dayName"": ""星期三"", ""periods"": [""3"", ""4""], ""raw"": ""3,4""}]",限修,上課教室：H1-108,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=115&Helf=1&Sclass=CCD&Cono=A011,2026-09-01T05:21:17+00:00
115-1-CCD-A020-A-1-A,115,1,人文社會科學院,CCD,工藝與創意設計學系,A020,A,大學部,1,A,圖學,2,必,60,53,2,7,翁群儀,,,,,,"5,6",,,"[{""day"": 5, ""dayName"": ""星期五"", ""periods"": [""5"", ""6""], ""raw"": ""5,6""}]",限修,教室:大一工作室,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=115&Helf=1&Sclass=CCD&Cono=A020,2026-09-01T05:21:17+00:00
115-1-CCD-A04A-A-1-A,115,1,人文社會科學院,CCD,工藝與創意設計學系,A04A,A,大學部,1,A,基本造型構成(一),3,必,60,53,0,7,蘇鴻昌,,,,,,"2,3, 4",,,"[{""day"": 5, ""dayName"": ""星期五"", ""periods"": [""2"", ""3"", ""4""], ""raw"": ""2,3, 4""}]",限修,教室:大一工作室,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=115&Helf=1&Sclass=CCD&Cono=A04A,2026-09-01T05:21:17+00:00
115-1-CCD-A507-A-1-A,115,1,人文社會科學院,CCD,工藝與創意設計學系,A507,A,大學部,1,A,木質媒材創作與應用(一),2,選,15,15,4,0,沈明旺,,,"5,6",,,,,,"[{""day"": 2, ""dayName"": ""星期二"", ""periods"": [""5"", ""6""], ""raw"": ""5,6""}]",限修,教室:工坊B121,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=115&Helf=1&Sclass=CCD&Cono=A507,2026-09-01T05:21:17+00:00
115-1-CCD-A50A-A-1-A,115,1,人文社會科學院,CCD,工藝與創意設計學系,A50A,A,大學部,1,A,基礎媒材創作(一),3,必,60,50,1,10,賴廷鴻 沈明旺,,,,,"2,3, 4",,,,"[{""day"": 4, ""dayName"": ""星期四"", ""periods"": [""2"", ""3"", ""4""], ""raw"": ""2,3, 4""}]",限修,教室:大一工作室,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=115&Helf=1&Sclass=CCD&Cono=A50A,2026-09-01T05:21:17+00:00
115-1-CCD-A541-A-1-A,115,1,人文社會科學院,CCD,工藝與創意設計學系,A541,A,大學部,1,A,電腦輔助設計(一)A,2,選,30,8,3,22,王政弘,H1--112,,"5,6",,,,,,"[{""day"": 2, ""dayName"": ""星期二"", ""periods"": [""5"", ""6""], ""raw"": ""5,6""}]",限修,H1-112，電腦輔助設計A、B擇一選修，請勿重複選課,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=115&Helf=1&Sclass=CCD&Cono=A541,2026-09-01T05:21:17+00:00
115-1-CCD-A542-A-1-A,115,1,人文社會科學院,CCD,工藝與創意設計學系,A542,A,大學部,1,A,電腦輔助設計(一)B,2,選,30,25,3,5,王政弘,H1--112,,"7,8",,,,,,"[{""day"": 2, ""dayName"": ""星期二"", ""periods"": [""7"", ""8""], ""raw"": ""7,8""}]",限修,H1-112，電腦輔助設計A、B擇一選修，請勿重複選課,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=115&Helf=1&Sclass=CCD&Cono=A542,2026-09-01T05:21:17+00:00
115-1-CCD-B571-A-1-A,115,1,人文社會科學院,CCD,工藝與創意設計學系,B571,A,大學部,1,A,電腦多媒體,2,選,30,24,0,6,王政弘,H1--112,,,,"5,6",,,,"[{""day"": 4, ""dayName"": ""星期四"", ""periods"": [""5"", ""6""], ""raw"": ""5,6""}]",限修,H1-112,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=115&Helf=1&Sclass=CCD&Cono=B571,2026-09-01T05:21:17+00:00
115-1-CCD-A506-A-2-A,115,1,人文社會科學院,CCD,工藝與創意設計學系,A506,A,大學部,2,A,圖案與文字造型設計,2,選,20,20,1,0,洪碩延,H1--108,,,"5,6, 7",,,,,"[{""day"": 3, ""dayName"": ""星期三"", ""periods"": [""5"", ""6"", ""7""], ""raw"": ""5,6, 7""}]",限修,教室:H1-108,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=115&Helf=1&Sclass=CCD&Cono=A506,2026-09-01T05:21:17+00:00
115-1-CCD-A532-A-2-A,115,1,人文社會科學院,CCD,工藝與創意設計學系,A532,A,大學部,2,A,產品表現技法,2,選,20,20,1,0,賴廷鴻,H1--108,,"5,6",,,,,,"[{""day"": 2, ""dayName"": ""星期二"", ""periods"": [""5"", ""6""], ""raw"": ""5,6""}]",限修,教室-108,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=115&Helf=1&Sclass=CCD&Cono=A532,2026-09-01T05:21:17+00:00
115-1-CCD-B010-A-2-A,115,1,人文社會科學院,CCD,工藝與創意設計學系,B010,A,大學部,2,A,創意設計(一),3,選,60,41,1,19,翁群儀 王政弘 蘇鴻昌,H1--108,,,,"2,3, 4",,,,"[{""day"": 4, ""dayName"": ""星期四"", ""periods"": [""2"", ""3"", ""4""], ""raw"": ""2,3, 4""}]",限修,H1-108,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=115&Helf=1&Sclass=CCD&Cono=B010,2026-09-01T05:21:17+00:00
115-1-CCD-B043-A-2-A,115,1,人文社會科學院,CCD,工藝與創意設計學系,B043,A,大學部,2,A,設計思考(一),2,必,60,48,2,12,翁群儀,,,"2,3, 4",,,,,,"[{""day"": 2, ""dayName"": ""星期二"", ""periods"": [""2"", ""3"", ""4""], ""raw"": ""2,3, 4""}]",限修,教室:大二工作室,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=115&Helf=1&Sclass=CCD&Cono=B043,2026-09-01T05:21:17+00:00
115-1-CCD-B521-A-2-A,115,1,人文社會科學院,CCD,工藝與創意設計學系,B521,A,大學部,2,A,傳統圖案研究,2,選,30,21,5,9,沈明旺,,"6,7",,,,,,,"[{""day"": 1, ""dayName"": ""星期一"", ""periods"": [""6"", ""7""], ""raw"": ""6,7""}]",限修,工坊玉石教室,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=115&Helf=1&Sclass=CCD&Cono=B521,2026-09-01T05:21:17+00:00
115-1-CCD-B536-A-2-A,115,1,人文社會科學院,CCD,工藝與創意設計學系,B536,A,大學部,2,A,視覺傳達設計,2,選,30,30,1,0,蘇鴻昌,H1--112,,,,,"7,8",,,"[{""day"": 5, ""dayName"": ""星期五"", ""periods"": [""7"", ""8""], ""raw"": ""7,8""}]",限修,H1-112,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=115&Helf=1&Sclass=CCD&Cono=B536,2026-09-01T05:21:17+00:00
115-1-CCD-B545-A-2-A,115,1,人文社會科學院,CCD,工藝與創意設計學系,B545,A,大學部,2,A,數位工藝概論,2,選,70,26,1,44,蘇鴻昌,H1--110,,,,,"5,6",,,"[{""day"": 5, ""dayName"": ""星期五"", ""periods"": [""5"", ""6""], ""raw"": ""5,6""}]",,H1-110,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=115&Helf=1&Sclass=CCD&Cono=B545,2026-09-01T05:21:17+00:00
115-1-CCD-B551-A-2-A,115,1,人文社會科學院,CCD,工藝與創意設計學系,B551,A,大學部,2,A,工藝設計(一),3,選,45,36,1,9,賴廷鴻 沈明旺 陳冠勳,,,,,"5,6, 7",,,,"[{""day"": 4, ""dayName"": ""星期四"", ""periods"": [""5"", ""6"", ""7""], ""raw"": ""5,6, 7""}]",限修,教室:大二工作室,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=115&Helf=1&Sclass=CCD&Cono=B551,2026-09-01T05:21:17+00:00
115-1-CCD-B562-A-2-A,115,1,人文社會科學院,CCD,工藝與創意設計學系,B562,A,大學部,2,A,造型藝術創作(一),2,選,30,30,2,0,沈明旺 陳冠勳,,,,,,"2,3, 4",,,"[{""day"": 5, ""dayName"": ""星期五"", ""periods"": [""2"", ""3"", ""4""], ""raw"": ""2,3, 4""}]",限修,教室:大二工作室,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=115&Helf=1&Sclass=CCD&Cono=B562,2026-09-01T05:21:17+00:00
115-1-CCD-B581-A-2-A,115,1,人文社會科學院,CCD,工藝與創意設計學系,B581,A,大學部,2,A,陶瓷裝飾技法,2,選,15,15,3,0,陳冠勳,,,"7,8, 9",,,,,,"[{""day"": 2, ""dayName"": ""星期二"", ""periods"": [""7"", ""8"", ""9""], ""raw"": ""7,8, 9""}]",限修,教室:工坊塑造教室,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=115&Helf=1&Sclass=CCD&Cono=B581,2026-09-01T05:21:17+00:00
115-1-CCD-C521-A-2-A,115,1,人文社會科學院,CCD,工藝與創意設計學系,C521,A,大學部,2,A,數位設計(一),2,選,30,30,3,0,吳亭翰,,,,"5,6, 7",,,,,"[{""day"": 3, ""dayName"": ""星期三"", ""periods"": [""5"", ""6"", ""7""], ""raw"": ""5,6, 7""}]",,H1-112；大二、大三合開課,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=115&Helf=1&Sclass=CCD&Cono=C521,2026-09-01T05:21:17+00:00
115-1-CCD-C010-A-3-A,115,1,人文社會科學院,CCD,工藝與創意設計學系,C010,A,大學部,3,A,田野調查,3,必,70,53,1,17,劉宥瑩,H1--107,,"5,6, 7",,,,,,"[{""day"": 2, ""dayName"": ""星期二"", ""periods"": [""5"", ""6"", ""7""], ""raw"": ""5,6, 7""}]",限修,H1-107,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=115&Helf=1&Sclass=CCD&Cono=C010,2026-09-01T05:21:17+00:00
115-1-CCD-C021-A-3-A,115,1,人文社會科學院,CCD,工藝與創意設計學系,C021,A,大學部,3,A,創意設計(三),3,必,60,48,2,12,陳冠勳,H1--110,,"2,3, 4",,,,,,"[{""day"": 2, ""dayName"": ""星期二"", ""periods"": [""2"", ""3"", ""4""], ""raw"": ""2,3, 4""}]",限修,H1-110,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=115&Helf=1&Sclass=CCD&Cono=C021,2026-09-01T05:21:17+00:00
